331 AD	0
332 AD	0
333 AD	0
334 AD	0
335 AD	0
336 AD	0
337 AD	1
338 AD	1
339 AD	1
340 AD	1
341 AD	1
342 AD	1
343 AD	1
344 AD	1
345 AD	1
346 AD	1
347 AD	1
348 AD	1
349 AD	1
350 AD	1
351 AD	6
352 AD	6
353 AD	6
354 AD	6
355 AD	6
356 AD	6
357 AD	6
358 AD	6
359 AD	6
360 AD	6
361 AD	7
362 AD	7
363 AD	7
364 AD	6
365 AD	6
366 AD	6
367 AD	6
368 AD	6
369 AD	6
370 AD	6
371 AD	6
372 AD	6
373 AD	6
374 AD	6
375 AD	6
376 AD	6
377 AD	6
378 AD	6
379 AD	6
380 AD	6
381 AD	6
382 AD	6
383 AD	6
384 AD	6
385 AD	6
386 AD	6
387 AD	6
388 AD	6
389 AD	6
390 AD	6
391 AD	6
392 AD	6
393 AD	6
394 AD	6
395 AD	6
396 AD	6
397 AD	6
398 AD	6
399 AD	6
400 AD	6
401 AD	6
402 AD	6
403 AD	6
404 AD	6
405 AD	6
406 AD	6
407 AD	6
408 AD	7
409 AD	6
410 AD	6
411 AD	6
412 AD	6
413 AD	6
414 AD	6
415 AD	6
416 AD	6
417 AD	6
418 AD	6
419 AD	6
420 AD	6
421 AD	6
422 AD	6
423 AD	6
424 AD	6
425 AD	6
426 AD	6
427 AD	6
428 AD	6
429 AD	6
430 AD	6
431 AD	6
432 AD	6
433 AD	6
434 AD	6
435 AD	6
436 AD	6
437 AD	6
438 AD	6
439 AD	6
440 AD	6
441 AD	6
442 AD	6
443 AD	6
444 AD	6
445 AD	6
446 AD	6
447 AD	6
448 AD	6
449 AD	6
450 AD	6
451 AD	1
